               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12313,              0.1776,            0.071112,            0.090483,            0.016082,           0.0027983,          0.00067811,             0.11344,             0.35153,            0.073004,              0.0802,              0.0022,              0.0022
                   1,             0.09715,              0.1796,            0.065567,             0.19772,            0.077828,            0.017864,           0.0043099,            0.097693,             0.41967,            0.065021,            0.059485,           0.0044852,           0.0044852
                   2,            0.085702,             0.19051,            0.063352,             0.11718,             0.12701,            0.029691,           0.0077243,             0.08356,             0.22416,            0.063275,            0.038755,           0.0067551,           0.0067551
                   3,            0.083918,             0.19043,             0.06278,             0.19382,             0.10015,            0.019853,           0.0067138,            0.092797,             0.24751,            0.062805,             0.01801,           0.0090099,           0.0090099
                   4,            0.080498,             0.19375,            0.062682,            0.071999,             0.32218,             0.06761,            0.029448,            0.069865,             0.21617,            0.062537,            0.009868,            0.009868,            0.009868
                   5,             0.07661,             0.19671,            0.062298,            0.057937,              0.2674,            0.053456,            0.020988,            0.073299,             0.22777,            0.062354,            0.009868,            0.009868,            0.009868
                   6,            0.071967,             0.18649,            0.062338,            0.066253,              0.2897,            0.057006,            0.022663,             0.07227,             0.23782,            0.062152,            0.009835,            0.009835,            0.009835
                   7,            0.070282,             0.18273,            0.062088,            0.073171,             0.33785,            0.066937,            0.029077,            0.067737,             0.24657,            0.061945,            0.009802,            0.009802,            0.009802
                   8,              0.0662,             0.18651,            0.061866,            0.076297,             0.35402,            0.076009,            0.035282,            0.070186,             0.23808,             0.06167,            0.009769,            0.009769,            0.009769
                   9,            0.065342,              0.1865,             0.06162,            0.087339,             0.44373,            0.088702,             0.03556,            0.064477,             0.23138,            0.061542,            0.009736,            0.009736,            0.009736
                  10,            0.064249,             0.17831,            0.061633,             0.08102,             0.38115,            0.084148,            0.040906,            0.065885,             0.22921,            0.061316,            0.009703,            0.009703,            0.009703
                  11,            0.062191,              0.1782,            0.061199,            0.088275,             0.40931,             0.10416,            0.055152,            0.061326,             0.22277,             0.06098,             0.00967,             0.00967,             0.00967
                  12,            0.062272,             0.17177,             0.06105,             0.09129,             0.44713,             0.12049,            0.060167,            0.061794,             0.22996,            0.060724,            0.009637,            0.009637,            0.009637
                  13,            0.060954,             0.17187,            0.060828,            0.086325,             0.35541,              0.1088,            0.054504,            0.067528,             0.24045,            0.060168,            0.009604,            0.009604,            0.009604
                  14,            0.060767,             0.17447,            0.060026,            0.094582,             0.41411,             0.13747,            0.066572,            0.062943,             0.23019,            0.059497,            0.009571,            0.009571,            0.009571
                  15,            0.059655,             0.17351,              0.0591,             0.11747,              0.4982,             0.17903,            0.083973,            0.061361,             0.23583,            0.058713,            0.009538,            0.009538,            0.009538
                  16,            0.059641,             0.17867,            0.058345,             0.19546,             0.43944,             0.20305,             0.11088,            0.057527,             0.21926,            0.058011,            0.009505,            0.009505,            0.009505
                  17,            0.061075,             0.16645,            0.057653,             0.17074,             0.46223,             0.21548,             0.11227,            0.059057,             0.21849,            0.057193,            0.009472,            0.009472,            0.009472
                  18,            0.058627,              0.1705,             0.05687,             0.18934,             0.44584,             0.21822,             0.11986,            0.059124,             0.21923,            0.056424,            0.009439,            0.009439,            0.009439
                  19,            0.057039,             0.16756,            0.056124,             0.19186,             0.47255,             0.22516,             0.11688,             0.05925,             0.23131,            0.055725,            0.009406,            0.009406,            0.009406
                  20,            0.058742,             0.16832,            0.055194,             0.22275,             0.43486,             0.24162,             0.13424,            0.058746,              0.2195,            0.054959,            0.009373,            0.009373,            0.009373
                  21,            0.058657,             0.16418,            0.054562,             0.23605,             0.44296,             0.25941,             0.13226,             0.06068,                0.22,            0.054169,             0.00934,             0.00934,             0.00934
