               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12185,              0.1698,            0.070881,            0.093311,            0.013981,           0.0033035,          0.00081136,             0.11391,              0.4273,            0.073431,              0.0793,              0.0023,              0.0023
                   1,            0.096053,             0.17944,            0.065593,             0.10803,            0.060887,            0.013159,           0.0033144,             0.10933,              0.4922,            0.065088,            0.057684,           0.0046845,           0.0046845
                   2,            0.085105,             0.18119,            0.063243,              0.3711,            0.098474,            0.029558,           0.0087058,            0.097151,              0.2601,            0.063159,            0.036053,           0.0070531,           0.0070531
                   3,            0.085137,             0.18653,            0.062829,             0.03629,             0.12264,            0.023546,            0.007112,            0.082909,             0.26146,            0.062872,            0.014406,           0.0094059,           0.0094059
                   4,            0.082166,             0.18735,            0.062548,            0.060617,             0.27665,            0.051582,            0.019118,            0.074116,             0.22298,            0.062457,            0.009868,            0.009868,            0.009868
                   5,            0.075365,             0.18611,            0.062201,            0.065263,             0.29844,             0.05674,            0.018664,             0.07295,             0.23071,            0.062329,            0.009868,            0.009868,            0.009868
                   6,            0.072325,             0.18091,            0.062266,            0.062868,             0.25988,            0.050265,            0.019741,            0.077514,             0.26668,            0.062152,            0.009835,            0.009835,            0.009835
                   7,            0.070262,              0.1873,            0.061953,             0.08146,             0.38876,            0.076326,            0.031453,            0.066056,             0.24736,            0.061853,            0.009802,            0.009802,            0.009802
                   8,            0.067213,             0.17955,            0.062018,            0.061816,             0.26353,            0.048788,            0.019918,            0.075416,             0.25061,              0.0617,            0.009769,            0.009769,            0.009769
                   9,            0.067071,              0.1793,            0.061571,            0.084083,             0.38288,            0.081487,            0.039984,            0.063709,             0.23238,            0.061389,            0.009736,            0.009736,            0.009736
                  10,            0.063653,             0.17089,             0.06151,            0.092209,              0.4687,             0.10356,            0.054125,            0.060622,             0.22233,            0.061145,            0.009703,            0.009703,            0.009703
