               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13009,             0.17392,             0.07241,          0.00032193,           0.0027123,          0.00016707,          3.6612e-05,             0.12392,             0.16051,            0.072079,              0.0901,              0.0011,              0.0011
                   1,             0.12239,             0.17983,            0.071027,           0.0037323,            0.016137,           0.0021133,          0.00063137,             0.11737,             0.14336,            0.072208,            0.079295,           0.0022954,           0.0022954
                   2,             0.11336,             0.17407,            0.069458,             0.17531,             0.01308,           0.0026123,          0.00057531,             0.11924,             0.24813,            0.073718,            0.068486,           0.0034861,           0.0034861
                   3,             0.10313,             0.17286,             0.06671,             0.18191,            0.046943,           0.0093262,           0.0023708,             0.09935,             0.27476,             0.06969,            0.057672,           0.0046721,           0.0046721
                   4,            0.097726,             0.18285,            0.064513,             0.10116,             0.08383,            0.011122,           0.0033103,             0.11197,             0.28899,            0.067438,            0.046853,           0.0058533,           0.0058533
                   5,            0.094434,             0.19215,             0.06388,            0.022472,             0.12621,            0.016647,           0.0041785,             0.10029,             0.23124,            0.066339,             0.03603,           0.0070297,           0.0070297
                   6,            0.088689,             0.20854,            0.063509,             0.28107,             0.14335,            0.029153,           0.0085004,            0.082899,             0.16628,            0.065579,            0.025201,           0.0082014,           0.0082014
                   7,             0.08361,             0.20693,            0.063327,             0.18186,            0.081097,            0.011923,            0.002604,            0.089553,             0.25146,            0.065405,            0.014368,           0.0093683,           0.0093683
                   8,              0.0845,              0.1951,            0.063025,            0.030157,              0.1707,            0.025943,             0.00753,            0.088985,             0.15549,            0.064792,           0.0098416,           0.0098416,           0.0098416
                   9,            0.087279,             0.20152,            0.063062,            0.044793,             0.25803,             0.04525,            0.013595,            0.073884,             0.16005,            0.064444,           0.0098416,           0.0098416,           0.0098416
