               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13111,              0.1727,            0.072087,          0.00084807,            0.004529,          0.00044286,          9.5112e-05,              0.1224,             0.16016,            0.071686,              0.0883,              0.0013,              0.0013
                   1,             0.12246,             0.16009,            0.070538,           0.0056213,            0.016405,           0.0022024,          0.00048476,             0.11602,             0.15447,            0.072656,            0.075695,           0.0026947,           0.0026947
                   2,             0.11259,             0.17499,            0.068084,              0.1811,            0.012797,           0.0036702,          0.00081054,             0.11968,             0.30617,            0.073132,            0.063084,           0.0040838,           0.0040838
                   3,             0.10195,             0.18418,            0.065223,             0.27291,            0.030331,           0.0082849,           0.0024919,             0.10049,             0.34269,            0.068921,            0.050467,           0.0054673,           0.0054673
                   4,            0.096961,             0.19884,            0.064092,             0.25374,            0.084052,            0.020053,           0.0065272,             0.10485,              0.3521,            0.067603,            0.037845,           0.0068454,           0.0068454
                   5,            0.093373,             0.20199,            0.063426,             0.35406,            0.080228,             0.01288,            0.002603,             0.10029,              0.2381,            0.066513,            0.025218,           0.0082178,           0.0082178
                   6,            0.093182,             0.20381,            0.062562,            0.020415,             0.14786,            0.018846,           0.0042998,            0.089226,             0.16113,            0.065286,            0.012585,           0.0095848,           0.0095848
                   7,             0.08846,             0.20261,            0.062645,             0.45984,             0.18074,            0.041445,             0.01168,            0.081155,             0.16805,            0.064948,           0.0098614,           0.0098614,           0.0098614
                   8,            0.085076,             0.21174,            0.062388,            0.046534,             0.24372,             0.04589,            0.010425,            0.084793,              0.1846,            0.064737,           0.0098614,           0.0098614,           0.0098614
                   9,            0.083429,             0.20585,            0.062303,             0.29029,             0.11448,            0.019124,            0.004511,            0.091499,             0.16138,             0.06416,           0.0098416,           0.0098416,           0.0098416
                  10,            0.084087,             0.20213,            0.062155,            0.051646,              0.3266,            0.054498,            0.019453,            0.067718,             0.16693,            0.063757,           0.0098218,           0.0098218,           0.0098218
                  11,            0.074941,             0.20878,            0.061855,            0.054575,             0.32598,            0.059111,            0.021729,            0.068721,             0.15865,            0.063666,            0.009802,            0.009802,            0.009802
                  12,             0.07892,             0.21057,            0.062104,            0.060488,             0.25421,             0.05618,            0.020675,            0.066059,             0.17564,            0.063629,           0.0097822,           0.0097822,           0.0097822
                  13,            0.076073,             0.20197,            0.062013,            0.050066,             0.28098,            0.051407,            0.020634,            0.080059,             0.16867,            0.063373,           0.0097624,           0.0097624,           0.0097624
                  14,            0.079209,             0.19747,            0.061766,            0.066929,             0.41429,            0.077138,            0.032137,             0.06112,             0.15544,            0.063217,           0.0097426,           0.0097426,           0.0097426
                  15,            0.072822,             0.19469,            0.061745,            0.069631,             0.40738,            0.077925,            0.029055,            0.065697,             0.15643,            0.063135,           0.0097228,           0.0097228,           0.0097228
                  16,            0.077561,             0.20137,            0.061894,            0.071267,             0.41515,            0.079207,            0.033142,            0.064417,             0.15054,            0.062961,            0.009703,            0.009703,            0.009703
                  17,            0.074997,             0.19044,            0.061551,            0.070803,             0.41167,            0.077719,            0.031071,            0.069287,              0.1566,            0.062933,           0.0096832,           0.0096832,           0.0096832
                  18,            0.074743,             0.18701,            0.061746,            0.077689,             0.47312,            0.091981,            0.043099,            0.060781,              0.1555,             0.06297,           0.0096634,           0.0096634,           0.0096634
                  19,            0.072085,             0.19829,            0.061736,             0.06942,             0.39321,            0.072848,            0.026385,             0.06238,             0.16129,            0.063034,           0.0096436,           0.0096436,           0.0096436
                  20,            0.067348,             0.18772,            0.061314,            0.085554,             0.44374,            0.093044,             0.04136,            0.059052,             0.14973,            0.062823,           0.0096238,           0.0096238,           0.0096238
                  21,            0.072123,              0.1943,             0.06148,            0.078765,             0.48383,            0.096439,            0.036858,            0.059633,             0.14906,            0.062787,            0.009604,            0.009604,            0.009604
                  22,            0.069364,             0.18737,            0.061217,            0.071472,             0.42145,            0.087946,            0.036182,            0.063098,             0.15004,            0.062677,           0.0095842,           0.0095842,           0.0095842
                  23,            0.071253,             0.17633,            0.061637,            0.075253,             0.43885,            0.091179,            0.040997,            0.062432,             0.15215,             0.06265,           0.0095644,           0.0095644,           0.0095644
                  24,             0.06946,             0.19632,            0.061314,            0.087823,             0.53371,             0.10509,            0.047716,             0.05625,             0.14614,            0.062695,           0.0095446,           0.0095446,           0.0095446
                  25,            0.068223,             0.18918,            0.061445,            0.086747,             0.52852,              0.1074,            0.054856,            0.053965,             0.14799,            0.062613,           0.0095248,           0.0095248,           0.0095248
                  26,            0.066248,             0.18539,            0.061539,            0.080199,             0.43691,            0.096539,            0.047337,            0.058981,             0.15206,            0.062558,            0.009505,            0.009505,            0.009505
                  27,            0.065151,             0.18901,            0.061477,            0.091443,              0.5202,             0.10748,            0.049529,             0.05641,             0.15602,            0.062631,           0.0094852,           0.0094852,           0.0094852
                  28,            0.063635,             0.18602,            0.061029,            0.092892,             0.52271,              0.1123,            0.062331,            0.052327,             0.14433,            0.062485,           0.0094654,           0.0094654,           0.0094654
                  29,            0.066324,             0.19112,            0.061296,            0.081151,             0.45938,            0.099303,             0.04804,            0.058446,              0.1516,             0.06243,           0.0094456,           0.0094456,           0.0094456
                  30,            0.066711,             0.19687,            0.060862,             0.08849,             0.48896,             0.10365,            0.043019,            0.062123,             0.15237,            0.062448,           0.0094258,           0.0094258,           0.0094258
                  31,            0.065408,             0.19387,            0.060998,            0.097022,             0.55322,             0.12271,            0.058339,            0.052296,             0.14881,            0.062412,            0.009406,            0.009406,            0.009406
                  32,            0.065208,             0.18127,            0.060914,            0.098034,             0.57059,             0.11929,             0.06767,            0.053921,             0.14238,            0.062311,           0.0093862,           0.0093862,           0.0093862
                  33,            0.065185,             0.17689,            0.061003,             0.07362,             0.42021,            0.090916,            0.041361,            0.057749,             0.15203,            0.062283,           0.0093664,           0.0093664,           0.0093664
                  34,            0.064461,             0.18944,             0.06118,            0.086315,             0.50724,             0.11731,            0.055903,             0.05491,             0.14305,            0.062256,           0.0093466,           0.0093466,           0.0093466
                  35,            0.062454,             0.18171,             0.06074,            0.086892,             0.49567,             0.11558,            0.057289,            0.055362,             0.14619,            0.062155,           0.0093268,           0.0093268,           0.0093268
                  36,            0.061186,             0.18749,            0.060446,            0.099413,             0.60295,             0.14019,            0.081386,            0.048495,             0.13943,            0.062073,            0.009307,            0.009307,            0.009307
                  37,            0.063142,             0.18593,            0.060607,             0.10117,             0.59942,             0.14726,            0.073554,            0.053504,             0.14399,            0.062036,           0.0092872,           0.0092872,           0.0092872
                  38,            0.062992,             0.18119,            0.060776,            0.095649,              0.5647,             0.14007,            0.068044,            0.053726,              0.1468,            0.061935,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063272,             0.17923,            0.060651,            0.085826,             0.47755,             0.12469,            0.058207,            0.057767,             0.14923,            0.061844,           0.0092476,           0.0092476,           0.0092476
